id,borough,neighborhood,whoRaceNonWhite,whoBornOutside,socioecoHighSchool,socioecoPoverty,socioecoUnemployment,socioecoRent,socioecoHelpful,homeDefects,homeRoaches,homeAir,homeBike,homePedInjury,homeBodega,homeFarmersMarket,healthChildObesity,healthChildAsthma,healthPhysicalActivity,healthUninsured,healthMedCare,healthFluVacc,healthAdultObesity,healthInfantMortality,healthLifeExpectancy,whoRaceNonWhiteValue,whoBornOutsideValue,socioecoHighSchoolValue,socioecoPovertyValue,socioecoUnemploymentValue,socioecoRentValue,socioecoHelpfulValue,homeDefectsValue,homeRoachesValue,homeAirValue,homeBikeValue,homePedInjuryValue,homeBodegaValue,homeFarmersMarketValue,healthChildObesityValue,healthChildAsthmaValue,healthPhysicalActivityValue,healthUninsuredValue,healthMedCareValue,healthFluVaccValue,healthAdultObesityValue,healthInfantMortalityValue,healthLifeExpectancyValue
310,Brooklyn,Bay Ridge and Dyker Heights,3.710843373,5.5,4.789473684,5,4,4.857142857,6.275862069,5.578947368,4.638297872,3.377358491,4.2,2.421052632,3.833333333,2.125,5.304347826,1.348949919,2.8,5.32,4.857142857,1.620689655,5.736842105,1.123287671,7.666666667,41,39,19,19,8,49,74,47,19,7.4,16,15,20,1,16,52,70,15,9,35,24,0.9,83.1
411,Queens,Bayside and Little Neck,5.445783133,6.25,2.894736842,3.333333333,2.5,3.892857143,10,6.684210526,1.957446809,2.528301887,2,1.236842105,1.333333333,1,3.347826087,1.1453958,3.16,1.72,1,5.965517241,4.789473684,4.205479452,9,57,43,11,14,6,46,86,54,5,6.9,5,10,5,0,11,38,71,5,3,49,20,3.4,84.7
303,Brooklyn,Bedford Stuyvesant,8.915662651,1.9375,5.263157895,6.333333333,7.75,6.142857143,3.793103448,4.473684211,6.744680851,4.566037736,3.2,4.789473684,10,6.625,7.652173913,6.045234249,2.8,3.88,8.071428571,1.620689655,6.921052632,7.04109589,2.416666667,89,20,21,23,13,53,66,40,30,8.1,11,25,57,5,22,375,70,11,14,35,29,5.7,76.8
206,Bronx,Belmont and East Tremont,9.457831325,4,8.815789474,9,10,8.392857143,2.551724138,2.421052632,9.042553191,4.396226415,3.8,6.921052632,6.666666667,3.25,8.434782609,7.339256866,2.08,4.24,8.714285714,7.206896552,8.578947368,7.164383562,3.166666667,94,31,36,31,16,60,62,27,42,8,14,34,37,2,24,464,68,12,15,53,36,5.8,77.7
311,Brooklyn,Bensonhurst,5.012048193,8.6875,6.447368421,6.333333333,4,5.821428571,4.103448276,7.947368421,3.29787234,2.698113208,1.4,3.605263158,5,2.125,4.52173913,1.05815832,1,4.6,2.928571429,3.793103448,5.026315789,4.575342466,8.25,53,56,26,23,8,52,67,62,12,7,2,20,27,1,14,32,65,13,6,42,21,3.7,83.8
312,Brooklyn,Borough Park,3.277108434,4,5.736842105,8,2.5,9.678571429,7.206896552,7.157894737,4.446808511,3.547169811,2.6,4.789473684,3.5,2.125,5.695652174,1.04361874,1.72,5.32,4.857142857,5.034482759,3.605263158,2.726027397,8.583333333,37,31,23,28,6,64,77,57,18,7.5,8,25,18,1,17,31,67,15,9,46,15,2.2,84.2
316,Brooklyn,Brownsville,10,3.8125,6.684210526,8,8.5,7.428571429,3.482758621,2.736842105,7.893617021,4.396226415,2.8,6.447368421,3,10,8.043478261,7.499192246,4.24,4.24,8.071428571,3.482758621,9.763157895,6.054794521,1,99,30,27,28,14,57,65,29,36,8,9,32,15,8,23,475,74,12,14,41,41,4.9,75.1
304,Brooklyn,Bushwick,9.13253012,4.75,8.578947368,7,7.75,6.785714286,4.103448276,4.473684211,7.70212766,4.566037736,3.8,4.078947368,5.666666667,5.5,10,4.809369952,4.6,6.4,7.428571429,2.24137931,6.210526316,4.698630137,5.416666667,91,35,35,25,13,55,67,40,35,8.1,14,22,31,4,28,290,75,18,13,37,26,3.8,80.4
110,Manhattan,Central Harlem,9.13253012,2.5,4.789473684,5.666666667,7,4.535714286,5.965517241,4,5.787234043,4.226415094,3.8,6.447368421,2.333333333,6.625,7.260869565,8.516962843,3.88,2.8,5.5,4.413793103,8.105263158,8.890410959,1.916666667,91,23,19,21,12,48,73,37,25,7.9,14,32,11,5,21,545,73,8,10,44,34,7.2,76.2
104,Manhattan,Clinton and Chelsea,3.710843373,3.4375,1.710526316,2.333333333,1.75,2.285714286,3.793103448,6.684210526,3.872340426,7.452830189,6.4,2.421052632,1.666666667,5.5,4.52173913,3.050080775,7.48,3.88,4.214285714,6.586206897,2.421052632,4.945205479,7.666666667,41,28,6,11,5,41,66,54,15,9.8,27,15,7,4,14,169,83,11,8,51,10,4,83.1
313,Brooklyn,Coney Island,4.036144578,8.125,4.552631579,6.666666667,6.25,6.785714286,7.206896552,5.105263158,5.978723404,2.188679245,3.6,4.078947368,4,2.125,6.086956522,2.730210016,3.16,4.96,6.142857143,3.793103448,6.684210526,6.917808219,5.416666667,44,53,18,24,11,55,77,44,26,6.7,13,22,21,1,18,147,71,14,11,42,28,5.6,80.4
308,Brooklyn,Crown Heights and Prospect Heights,8.156626506,3.8125,4.078947368,5.666666667,4.75,5.178571429,4.724137931,1.789473684,7.70212766,4.396226415,10,5.263157895,4.666666667,1,6.47826087,5.56542811,4.24,4.24,8.071428571,4.413793103,6.210526316,6.671232877,4.5,82,30,16,21,9,50,69,23,35,8,45,27,25,0,19,342,74,12,14,44,26,5.4,79.3
317,Brooklyn,East Flatbush,10,8.125,3.842105263,5,4.75,6.464285714,6.275862069,2.263157895,7.893617021,4.056603774,3,5.026315789,4,3.25,7.652173913,5.57996769,3.88,5.32,4.857142857,1.620689655,8.105263158,8.767123288,7.25,99,53,15,19,9,54,74,26,36,7.8,10,26,21,2,22,343,73,15,9,35,34,7.1,82.6
111,Manhattan,East Harlem,8.807228916,2.6875,6.210526316,6.333333333,6.25,4.535714286,4.103448276,4.789473684,7.893617021,4.735849057,7,5.736842105,3.333333333,10,8.043478261,9.025848142,2.08,4.24,8.071428571,5.034482759,6.684210526,7.287671233,2.833333333,88,24,25,23,11,48,67,42,36,8.2,30,29,17,8,23,580,68,12,14,46,28,5.9,77.3
