PUMA_ch,borough,GRPIP,rent_deciles,rent_cat,HH_size,n,nyc_pums_Name
3701,Bronx,1,0-10,not rent burdened,5,58,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,2,0-10,not rent burdened,2,48,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,2,0-10,not rent burdened,8,11,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,3,0-10,not rent burdened,1,42,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,3,0-10,not rent burdened,2,8,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,3,0-10,not rent burdened,3,28,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,3,0-10,not rent burdened,4,7,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,3,0-10,not rent burdened,5,22,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,4,0-10,not rent burdened,1,15,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,4,0-10,not rent burdened,2,19,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,4,0-10,not rent burdened,3,31,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,5,0-10,not rent burdened,1,29,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,5,0-10,not rent burdened,2,84,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,5,0-10,not rent burdened,5,21,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,6,0-10,not rent burdened,1,251,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,6,0-10,not rent burdened,2,14,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,6,0-10,not rent burdened,3,16,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,7,0-10,not rent burdened,1,13,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,7,0-10,not rent burdened,2,155,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,7,0-10,not rent burdened,3,20,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,7,0-10,not rent burdened,4,78,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,8,0-10,not rent burdened,1,52,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,8,0-10,not rent burdened,2,35,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,8,0-10,not rent burdened,3,51,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,8,0-10,not rent burdened,4,90,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,8,0-10,not rent burdened,5,52,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,9,0-10,not rent burdened,1,50,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,9,0-10,not rent burdened,2,239,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,9,0-10,not rent burdened,3,67,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,9,0-10,not rent burdened,5,27,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,10,0-10,not rent burdened,1,101,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,10,0-10,not rent burdened,2,184,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,10,0-10,not rent burdened,6,35,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,11,11-20,not rent burdened,1,90,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,11,11-20,not rent burdened,2,204,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,11,11-20,not rent burdened,3,116,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,11,11-20,not rent burdened,4,26,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,12,11-20,not rent burdened,1,86,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,12,11-20,not rent burdened,2,218,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,12,11-20,not rent burdened,3,67,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,12,11-20,not rent burdened,4,75,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,12,11-20,not rent burdened,7,17,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,13,11-20,not rent burdened,1,72,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,13,11-20,not rent burdened,2,158,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,13,11-20,not rent burdened,3,85,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,13,11-20,not rent burdened,4,76,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,13,11-20,not rent burdened,5,18,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,13,11-20,not rent burdened,6,16,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,14,11-20,not rent burdened,1,161,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,14,11-20,not rent burdened,2,181,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,14,11-20,not rent burdened,3,72,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,14,11-20,not rent burdened,4,31,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,14,11-20,not rent burdened,5,31,"Riverdale, Fieldston & Kingsbridge"
3701,Bronx,14,11-20,not rent burdened,8,37,"Riverdale, Fieldston & Kingsbridge"
