keyindex,year,topic,category,count,countall,color
1,2013,blank,,0,99999,#ffffff
2,2013,blank,,0,99999,#ffffff
3,2013,E-Cigarette Ban,Health,8,8,#f8d399
4,2013,E-Cigarette Ban,Health,8,8,#f8d399
5,2013,E-Cigarette Ban,Health,8,8,#f8d399
6,2013,E-Cigarette Ban,Health,8,8,#f8d399
7,2013,E-Cigarette Ban,Health,8,8,#f8d399
8,2013,E-Cigarette Ban,Health,8,8,#f8d399
9,2013,E-Cigarette Ban,Health,8,8,#f8d399
10,2013,E-Cigarette Ban,Health,8,8,#f8d399
11,2013,NYC Transit,Transportation,24,117,#cbd5e4
12,2013,NYC Transit,Transportation,24,117,#cbd5e4
13,2013,NYC Transit,Transportation,24,117,#cbd5e4
14,2013,NYC Transit,Transportation,24,117,#cbd5e4
15,2013,NYC Transit,Transportation,24,117,#cbd5e4
16,2013,NYC Transit,Transportation,24,117,#cbd5e4
17,2013,NYC Transit,Transportation,24,117,#cbd5e4
18,2013,NYC Transit,Transportation,24,117,#cbd5e4
19,2013,NYC Transit,Transportation,24,117,#cbd5e4
20,2013,NYC Transit,Transportation,24,117,#cbd5e4
21,2013,NYC Transit,Transportation,24,117,#cbd5e4
22,2013,NYC Transit,Transportation,24,117,#cbd5e4
23,2013,NYC Transit,Transportation,24,117,#cbd5e4
24,2013,NYC Transit,Transportation,24,117,#cbd5e4
25,2013,NYC Transit,Transportation,24,117,#cbd5e4
26,2013,NYC Transit,Transportation,24,117,#cbd5e4
27,2013,NYC Transit,Transportation,24,117,#cbd5e4
28,2013,NYC Transit,Transportation,24,117,#cbd5e4
29,2013,NYC Transit,Transportation,24,117,#cbd5e4
30,2013,NYC Transit,Transportation,24,117,#cbd5e4
31,2013,NYC Transit,Transportation,24,117,#cbd5e4
32,2013,NYC Transit,Transportation,24,117,#cbd5e4
33,2013,NYC Transit,Transportation,24,117,#cbd5e4
34,2013,NYC Transit,Transportation,24,117,#cbd5e4
35,2013,Education,Education,60,226,#f4e192
36,2013,Education,Education,60,226,#f4e192
37,2013,Education,Education,60,226,#f4e192
38,2013,Education,Education,60,226,#f4e192
39,2013,Education,Education,60,226,#f4e192
40,2013,Education,Education,60,226,#f4e192
41,2013,Education,Education,60,226,#f4e192
42,2013,Education,Education,60,226,#f4e192
43,2013,Education,Education,60,226,#f4e192
44,2013,Education,Education,60,226,#f4e192
45,2013,Education,Education,60,226,#f4e192
46,2013,Education,Education,60,226,#f4e192
47,2013,Education,Education,60,226,#f4e192
48,2013,Education,Education,60,226,#f4e192
49,2013,Education,Education,60,226,#f4e192
50,2013,Education,Education,60,226,#f4e192
51,2013,Education,Education,60,226,#f4e192
52,2013,Education,Education,60,226,#f4e192
53,2013,Education,Education,60,226,#f4e192
54,2013,Education,Education,60,226,#f4e192
55,2013,Education,Education,60,226,#f4e192
56,2013,Education,Education,60,226,#f4e192
57,2013,Education,Education,60,226,#f4e192
58,2013,Education,Education,60,226,#f4e192
59,2013,Education,Education,60,226,#f4e192
60,2013,Education,Education,60,226,#f4e192
61,2013,Education,Education,60,226,#f4e192
62,2013,Education,Education,60,226,#f4e192
63,2013,Education,Education,60,226,#f4e192
64,2013,Education,Education,60,226,#f4e192
65,2013,Education,Education,60,226,#f4e192
66,2013,Education,Education,60,226,#f4e192
67,2013,Education,Education,60,226,#f4e192
68,2013,Education,Education,60,226,#f4e192
69,2013,Education,Education,60,226,#f4e192
70,2013,Education,Education,60,226,#f4e192
71,2013,Education,Education,60,226,#f4e192
72,2013,Education,Education,60,226,#f4e192
73,2013,Education,Education,60,226,#f4e192
74,2013,Education,Education,60,226,#f4e192
75,2013,Education,Education,60,226,#f4e192
76,2013,Education,Education,60,226,#f4e192
77,2013,Education,Education,60,226,#f4e192
78,2013,Education,Education,60,226,#f4e192
79,2013,Education,Education,60,226,#f4e192
80,2013,Education,Education,60,226,#f4e192
