yearindex,topicindex,year,topic,category,radius,count,countall,color
1,1742,2013,yearblank,yearblank,0,0,0,#ffffff
2,1743,2013,yearblank,yearblank,0,0,99999,#ffffff
3,45,2013,E-Cigarette Ban,Health,6,8,8,#f8d399
4,46,2013,E-Cigarette Ban,Health,6,8,8,#f8d399
5,47,2013,E-Cigarette Ban,Health,6,8,8,#f8d399
6,48,2013,E-Cigarette Ban,Health,6,8,8,#f8d399
7,49,2013,E-Cigarette Ban,Health,6,8,8,#f8d399
8,50,2013,E-Cigarette Ban,Health,6,8,8,#f8d399
9,51,2013,E-Cigarette Ban,Health,6,8,8,#f8d399
10,52,2013,E-Cigarette Ban,Health,6,8,8,#f8d399
11,1005,2013,NYC Transit,Transportation,6,24,117,#cbd5e4
12,1006,2013,NYC Transit,Transportation,6,24,117,#cbd5e4
13,1007,2013,NYC Transit,Transportation,6,24,117,#cbd5e4
14,1008,2013,NYC Transit,Transportation,6,24,117,#cbd5e4
15,1009,2013,NYC Transit,Transportation,6,24,117,#cbd5e4
16,1010,2013,NYC Transit,Transportation,6,24,117,#cbd5e4
17,1011,2013,NYC Transit,Transportation,6,24,117,#cbd5e4
18,1012,2013,NYC Transit,Transportation,6,24,117,#cbd5e4
19,1013,2013,NYC Transit,Transportation,6,24,117,#cbd5e4
20,1014,2013,NYC Transit,Transportation,6,24,117,#cbd5e4
21,1015,2013,NYC Transit,Transportation,6,24,117,#cbd5e4
22,1016,2013,NYC Transit,Transportation,6,24,117,#cbd5e4
23,1017,2013,NYC Transit,Transportation,6,24,117,#cbd5e4
24,1018,2013,NYC Transit,Transportation,6,24,117,#cbd5e4
25,1019,2013,NYC Transit,Transportation,6,24,117,#cbd5e4
26,1020,2013,NYC Transit,Transportation,6,24,117,#cbd5e4
27,1021,2013,NYC Transit,Transportation,6,24,117,#cbd5e4
28,1022,2013,NYC Transit,Transportation,6,24,117,#cbd5e4
29,1023,2013,NYC Transit,Transportation,6,24,117,#cbd5e4
30,1024,2013,NYC Transit,Transportation,6,24,117,#cbd5e4
31,1025,2013,NYC Transit,Transportation,6,24,117,#cbd5e4
32,1026,2013,NYC Transit,Transportation,6,24,117,#cbd5e4
33,1027,2013,NYC Transit,Transportation,6,24,117,#cbd5e4
34,1028,2013,NYC Transit,Transportation,6,24,117,#cbd5e4
35,1516,2013,Education,Education,6,60,226,#f4e192
36,1517,2013,Education,Education,6,60,226,#f4e192
37,1518,2013,Education,Education,6,60,226,#f4e192
38,1519,2013,Education,Education,6,60,226,#f4e192
39,1520,2013,Education,Education,6,60,226,#f4e192
40,1521,2013,Education,Education,6,60,226,#f4e192
41,1522,2013,Education,Education,6,60,226,#f4e192
42,1523,2013,Education,Education,6,60,226,#f4e192
43,1524,2013,Education,Education,6,60,226,#f4e192
44,1525,2013,Education,Education,6,60,226,#f4e192
45,1526,2013,Education,Education,6,60,226,#f4e192
46,1527,2013,Education,Education,6,60,226,#f4e192
47,1528,2013,Education,Education,6,60,226,#f4e192
48,1529,2013,Education,Education,6,60,226,#f4e192
49,1530,2013,Education,Education,6,60,226,#f4e192
50,1531,2013,Education,Education,6,60,226,#f4e192
51,1532,2013,Education,Education,6,60,226,#f4e192
52,1533,2013,Education,Education,6,60,226,#f4e192
53,1534,2013,Education,Education,6,60,226,#f4e192
54,1535,2013,Education,Education,6,60,226,#f4e192
55,1536,2013,Education,Education,6,60,226,#f4e192
56,1537,2013,Education,Education,6,60,226,#f4e192
57,1538,2013,Education,Education,6,60,226,#f4e192
58,1539,2013,Education,Education,6,60,226,#f4e192
59,1540,2013,Education,Education,6,60,226,#f4e192
60,1541,2013,Education,Education,6,60,226,#f4e192
61,1542,2013,Education,Education,6,60,226,#f4e192
62,1543,2013,Education,Education,6,60,226,#f4e192
63,1544,2013,Education,Education,6,60,226,#f4e192
64,1545,2013,Education,Education,6,60,226,#f4e192
65,1546,2013,Education,Education,6,60,226,#f4e192
66,1547,2013,Education,Education,6,60,226,#f4e192
