yearindex,topicindex,year,topic,category,radius,count,countall,color
1,1742,2013,yearblank,yearblank,0,0,0,#ffffff
2,1743,2013,yearblank,yearblank,0,0,99999,#ffffff
3,45,2013,E-Cigarette Ban,Health,5,8,8,#fb7f82
4,46,2013,E-Cigarette Ban,Health,5,8,8,#fb7f82
5,47,2013,E-Cigarette Ban,Health,5,8,8,#fb7f82
6,48,2013,E-Cigarette Ban,Health,5,8,8,#fb7f82
7,49,2013,E-Cigarette Ban,Health,5,8,8,#fb7f82
8,50,2013,E-Cigarette Ban,Health,5,8,8,#fb7f82
9,51,2013,E-Cigarette Ban,Health,5,8,8,#fb7f82
10,52,2013,E-Cigarette Ban,Health,5,8,8,#fb7f82
11,1005,2013,NYC Transit,Transportation,5,24,117,#777777
12,1006,2013,NYC Transit,Transportation,5,24,117,#777777
13,1007,2013,NYC Transit,Transportation,5,24,117,#777777
14,1008,2013,NYC Transit,Transportation,5,24,117,#777777
15,1009,2013,NYC Transit,Transportation,5,24,117,#777777
16,1010,2013,NYC Transit,Transportation,5,24,117,#777777
17,1011,2013,NYC Transit,Transportation,5,24,117,#777777
18,1012,2013,NYC Transit,Transportation,5,24,117,#777777
19,1013,2013,NYC Transit,Transportation,5,24,117,#777777
20,1014,2013,NYC Transit,Transportation,5,24,117,#777777
21,1015,2013,NYC Transit,Transportation,5,24,117,#777777
22,1016,2013,NYC Transit,Transportation,5,24,117,#777777
23,1017,2013,NYC Transit,Transportation,5,24,117,#777777
24,1018,2013,NYC Transit,Transportation,5,24,117,#777777
25,1019,2013,NYC Transit,Transportation,5,24,117,#777777
26,1020,2013,NYC Transit,Transportation,5,24,117,#777777
27,1021,2013,NYC Transit,Transportation,5,24,117,#777777
28,1022,2013,NYC Transit,Transportation,5,24,117,#777777
29,1023,2013,NYC Transit,Transportation,5,24,117,#777777
30,1024,2013,NYC Transit,Transportation,5,24,117,#777777
31,1025,2013,NYC Transit,Transportation,5,24,117,#777777
32,1026,2013,NYC Transit,Transportation,5,24,117,#777777
33,1027,2013,NYC Transit,Transportation,5,24,117,#777777
34,1028,2013,NYC Transit,Transportation,5,24,117,#777777
35,1516,2013,Education,Education,5,60,226,#1b79a5
36,1517,2013,Education,Education,5,60,226,#1b79a5
37,1518,2013,Education,Education,5,60,226,#1b79a5
38,1519,2013,Education,Education,5,60,226,#1b79a5
39,1520,2013,Education,Education,5,60,226,#1b79a5
40,1521,2013,Education,Education,5,60,226,#1b79a5
41,1522,2013,Education,Education,5,60,226,#1b79a5
42,1523,2013,Education,Education,5,60,226,#1b79a5
43,1524,2013,Education,Education,5,60,226,#1b79a5
44,1525,2013,Education,Education,5,60,226,#1b79a5
45,1526,2013,Education,Education,5,60,226,#1b79a5
46,1527,2013,Education,Education,5,60,226,#1b79a5
47,1528,2013,Education,Education,5,60,226,#1b79a5
48,1529,2013,Education,Education,5,60,226,#1b79a5
49,1530,2013,Education,Education,5,60,226,#1b79a5
50,1531,2013,Education,Education,5,60,226,#1b79a5
51,1532,2013,Education,Education,5,60,226,#1b79a5
52,1533,2013,Education,Education,5,60,226,#1b79a5
53,1534,2013,Education,Education,5,60,226,#1b79a5
54,1535,2013,Education,Education,5,60,226,#1b79a5
55,1536,2013,Education,Education,5,60,226,#1b79a5
56,1537,2013,Education,Education,5,60,226,#1b79a5
57,1538,2013,Education,Education,5,60,226,#1b79a5
58,1539,2013,Education,Education,5,60,226,#1b79a5
59,1540,2013,Education,Education,5,60,226,#1b79a5
60,1541,2013,Education,Education,5,60,226,#1b79a5
61,1542,2013,Education,Education,5,60,226,#1b79a5
62,1543,2013,Education,Education,5,60,226,#1b79a5
63,1544,2013,Education,Education,5,60,226,#1b79a5
64,1545,2013,Education,Education,5,60,226,#1b79a5
65,1546,2013,Education,Education,5,60,226,#1b79a5
66,1547,2013,Education,Education,5,60,226,#1b79a5
67,1548,2013,Education,Education,5,60,226,#1b79a5
68,1549,2013,Education,Education,5,60,226,#1b79a5
